t	x	y	z
49.0000	0.6373	-11.4447	0.0000
49.1000	1.7818	-11.2800	0.0000
49.2000	2.9098	-11.0008	0.0000
49.3000	4.0099	-10.6088	0.0000
49.4000	5.0707	-10.1069	0.0000
49.5000	6.0814	-9.4988	0.0000
49.6000	7.0313	-8.7896	0.0000
49.7000	7.9103	-7.9855	0.0000
49.8000	8.7088	-7.0935	0.0000
49.9000	9.4182	-6.1216	0.0000
50.0000	10.0303	-5.0788	0.0000
50.1000	10.5382	-3.9747	0.0000
50.2000	10.9357	-2.8199	0.0000
50.3000	11.2177	-1.6254	0.0000
50.4000	11.3802	-0.4026	0.0000
50.5000	11.4205	0.8364	0.0000
50.6000	11.3368	2.0795	0.0000
50.7000	11.1289	3.3142	0.0000
50.8000	10.7975	4.5280	0.0000
50.9000	10.3447	5.7088	0.0000
51.0000	9.7738	6.8443	0.0000
51.1000	9.0893	7.9226	0.0000
51.2000	8.2971	8.9326	0.0000
51.3000	7.4038	9.8633	0.0000
51.4000	6.4175	10.7047	0.0000
51.5000	5.3470	11.4474	0.0000
51.6000	4.2023	12.0831	0.0000
51.7000	2.9940	12.6043	0.0000
51.8000	1.7336	13.0047	0.0000
51.9000	0.4331	13.2791	0.0000
52.0000	-0.8948	13.4234	0.0000
52.1000	-2.2372	13.4349	0.0000
52.2000	-3.5807	13.3122	0.0000
52.3000	-4.9119	13.0551	0.0000
52.4000	-6.2174	12.6649	0.0000
52.5000	-7.4839	12.1442	0.0000
52.6000	-8.6983	11.4968	0.0000
52.7000	-9.8480	10.7280	0.0000
52.8000	-10.9208	9.8442	0.0000
52.9000	-11.9052	8.8531	0.0000
53.0000	-12.7905	7.7636	0.0000
53.1000	-13.5669	6.5855	0.0000
53.2000	-14.2254	5.3298	0.0000
53.3000	-14.7584	4.0083	0.0000
53.4000	-15.1592	2.6335	0.0000
53.5000	-15.4226	1.2185	0.0000
53.6000	-15.5444	-0.2227	0.0000
53.7000	-15.5222	-1.6762	0.0000
53.8000	-15.3546	-3.1274	0.0000
53.9000	-15.0418	-4.5618	0.0000
54.0000	-14.5856	-5.9650	0.0000
54.1000	-13.9891	-7.3226	0.0000
54.2000	-13.2569	-8.6205	0.0000
54.3000	-12.3948	-9.8452	0.0000
54.4000	-11.4103	-10.9837	0.0000
54.5000	-10.3119	-12.0237	0.0000
54.6000	-9.1096	-12.9539	0.0000
54.7000	-7.8142	-13.7639	0.0000
54.8000	-6.4378	-14.4443	0.0000
54.9000	-4.9934	-14.9871	0.0000
55.0000	-3.4947	-15.3854	0.0000
55.1000	-1.9561	-15.6339	0.0000
55.2000	-0.3927	-15.7285	0.0000
55.3000	1.1801	-15.6667	0.0000
55.4000	2.7468	-15.4477	0.0000
55.5000	4.2916	-15.0721	0.0000
55.6000	5.7988	-14.5419	0.0000
55.7000	7.2529	-13.8610	0.0000
55.8000	8.6391	-13.0347	0.0000
55.9000	9.9425	-12.0698	0.0000
56.0000	11.1495	-10.9746	0.0000
56.1000	12.2470	-9.7586	0.0000
56.2000	13.2228	-8.4329	0.0000
56.3000	14.0661	-7.0096	0.0000
56.4000	14.7671	-5.5020	0.0000
56.5000	15.3173	-3.9243	0.0000
56.6000	15.7097	-2.2916	0.0000
56.7000	15.9389	-0.6196	0.0000
56.8000	16.0008	1.0753	0.0000
56.9000	15.8933	2.7764	0.0000
57.0000	15.6157	4.4667	0.0000
57.1000	15.1690	6.1293	0.0000
57.2000	14.5561	7.7472	0.0000
57.3000	13.7814	9.3038	0.0000
57.4000	12.8510	10.7829	0.0000
57.5000	11.7727	12.1690	0.0000
57.6000	10.5558	13.4473	0.0000
57.7000	9.2111	14.6038	0.0000
57.8000	7.7507	15.6260	0.0000
57.9000	6.1881	16.5020	0.0000
58.0000	4.5379	17.2218	0.0000
58.1000	2.8157	17.7766	0.0000
58.2000	1.0380	18.1592	0.0000
58.3000	-0.7779	18.3640	0.0000
58.4000	-2.6143	18.3872	0.0000
58.5000	-4.4530	18.2268	0.0000
58.6000	-6.2757	17.8825	0.0000
58.7000	-8.0639	17.3559	0.0000
58.8000	-9.7995	16.6505	0.0000
58.9000	-11.4646	15.7716	0.0000
59.0000	-13.0417	14.7261	0.0000
59.1000	-14.5143	13.5229	0.0000
59.2000	-15.8666	12.1725	0.0000
59.3000	-17.0839	10.6868	0.0000
59.4000	-18.1526	9.0795	0.0000
59.5000	-19.0605	7.3652	0.0000
59.6000	-19.7970	5.5602	0.0000
59.7000	-20.3530	3.6814	0.0000
59.8000	-20.7212	1.7471	0.0000
59.9000	-20.8959	-0.2240	0.0000
60.0000	-20.8735	-2.2126	0.0000
60.1000	-20.6522	-4.1989	0.0000
60.2000	-20.2324	-6.1631	0.0000
60.3000	-19.6160	-8.0854	0.0000
60.4000	-18.8075	-9.9460	0.0000
60.5000	-17.8129	-11.7257	0.0000
60.6000	-16.6403	-13.4060	0.0000
60.7000	-15.2997	-14.9691	0.0000
60.8000	-13.8028	-16.3980	0.0000
60.9000	-12.1630	-17.6773	0.0000
61.0000	-10.3953	-18.7926	0.0000
