t	x	y	z
45.2000	-0.5760	0.9602	0.0000
45.3000	-0.6690	0.9985	0.0000
45.4000	-0.7652	1.0273	0.0000
45.5000	-0.8639	1.0463	0.0000
45.6000	-0.9640	1.0554	0.0000
45.7000	-1.0645	1.0545	0.0000
45.8000	-1.1644	1.0435	0.0000
45.9000	-1.2627	1.0227	0.0000
46.0000	-1.3585	0.9921	0.0000
46.1000	-1.4507	0.9522	0.0000
46.2000	-1.5384	0.9032	0.0000
46.3000	-1.6209	0.8457	0.0000
46.4000	-1.6972	0.7803	0.0000
46.5000	-1.7666	0.7077	0.0000
46.6000	-1.8284	0.6284	0.0000
46.7000	-1.8820	0.5434	0.0000
46.8000	-1.9268	0.4534	0.0000
46.9000	-1.9625	0.3595	0.0000
47.0000	-1.9886	0.2624	0.0000
47.1000	-2.0048	0.1633	0.0000
47.2000	-2.0112	0.0630	0.0000
47.3000	-2.0074	-0.0375	0.0000
47.4000	-1.9937	-0.1370	0.0000
47.5000	-1.9701	-0.2347	0.0000
47.6000	-1.9369	-0.3296	0.0000
47.7000	-1.8944	-0.4206	0.0000
47.8000	-1.8430	-0.5070	0.0000
47.9000	-1.7833	-0.5878	0.0000
48.0000	-1.7158	-0.6623	0.0000
48.1000	-1.6412	-0.7296	0.0000
48.2000	-1.5602	-0.7892	0.0000
48.3000	-1.4738	-0.8404	0.0000
48.4000	-1.3826	-0.8827	0.0000
48.5000	-1.2877	-0.9157	0.0000
48.6000	-1.1899	-0.9391	0.0000
48.7000	-1.0903	-0.9526	0.0000
48.8000	-0.9899	-0.9561	0.0000
48.9000	-0.8896	-0.9496	0.0000
49.0000	-0.7905	-0.9331	0.0000
49.1000	-0.6935	-0.9068	0.0000
49.2000	-0.5996	-0.8710	0.0000
49.3000	-0.5098	-0.8259	0.0000
49.4000	-0.4249	-0.7722	0.0000
49.5000	-0.3457	-0.7102	0.0000
49.6000	-0.2732	-0.6406	0.0000
49.7000	-0.2080	-0.5642	0.0000
49.8000	-0.1507	-0.4816	0.0000
49.9000	-0.1019	-0.3938	0.0000
50.0000	-0.0621	-0.3015	0.0000
50.1000	-0.0318	-0.2057	0.0000
50.2000	-0.0111	-0.1073	0.0000
50.3000	-0.0004	-0.0074	0.0000
50.4000	0.0003	0.0931	0.0000
50.5000	-0.0090	0.1932	0.0000
50.6000	-0.0282	0.2918	0.0000
50.7000	-0.0572	0.3881	0.0000
50.8000	-0.0957	0.4809	0.0000
50.9000	-0.1432	0.5695	0.0000
51.0000	-0.1993	0.6528	0.0000
51.1000	-0.2635	0.7302	0.0000
51.2000	-0.3350	0.8008	0.0000
51.3000	-0.4133	0.8639	0.0000
51.4000	-0.4974	0.9188	0.0000
51.5000	-0.5866	0.9651	0.0000
51.6000	-0.6800	1.0023	0.0000
51.7000	-0.7766	1.0300	0.0000
51.8000	-0.8755	1.0479	0.0000
51.9000	-0.9756	1.0558	0.0000
52.0000	-1.0761	1.0537	0.0000
52.1000	-1.1759	1.0416	0.0000
52.2000	-1.2740	1.0196	0.0000
52.3000	-1.3693	0.9880	0.0000
52.4000	-1.4611	0.9469	0.0000
52.5000	-1.5483	0.8970	0.0000
52.6000	-1.6301	0.8386	0.0000
52.7000	-1.7056	0.7723	0.0000
52.8000	-1.7742	0.6988	0.0000
52.9000	-1.8350	0.6188	0.0000
53.0000	-1.8876	0.5332	0.0000
53.1000	-1.9314	0.4427	0.0000
53.2000	-1.9660	0.3484	0.0000
53.3000	-1.9910	0.2510	0.0000
53.4000	-2.0061	0.1517	0.0000
53.5000	-2.0112	0.0513	0.0000
53.6000	-2.0064	-0.0491	0.0000
53.7000	-1.9915	-0.1485	0.0000
53.8000	-1.9668	-0.2459	0.0000
53.9000	-1.9325	-0.3403	0.0000
54.0000	-1.8889	-0.4309	0.0000
54.1000	-1.8365	-0.5167	0.0000
54.2000	-1.7758	-0.5968	0.0000
